"","sesso","titolo","giuridica2","area","corso","aula","edizione","ore","trimestre","iscritti","formati","esito"
"19","F","LAUREA                             ","Categoria D","SISTEMI INFORMATIVI E TECNOLOGIE        ","SEMINARIO SU INTRODUZIONE AL PROTOCOLLO INTEROPERABILE E GESTIONE DOCUMENTALE   ","FUORI","A09BB",4,3,1,1,1
"20","F","LAUREA                             ","Categoria D","GIURIDICA                               ","IL CONTRATTO DI APPALTO PER LA FORNITURA DI BENI E SERVIZI: DALL'AGGIUDICAZIONE ","FUORI","C09AL",16,4,1,NA,0
"21","F","LAUREA                             ","Categoria D","SISTEMI INFORMATIVI E TECNOLOGIE        ","SEMINARIO SU INTRODUZIONE AL PROTOCOLLO INTEROPERABILE E GESTIONE DOCUMENTALE   ","FUORI","A09BB",4,3,1,1,1
"22","F","LAUREA                             ","Categoria D","EUROPEA                                 ","I FONDI STRUTTURALI                                                             ","DENTRO","D09GR",16,4,1,NA,0
"23","F","LAUREA                             ","Categoria D","MANAGERIALE                             ","COMPETENZE PER LA GESTIONE DELLE RISORSE FAVORENDO L'INNOVAZIONE E IL GOVERNO DE","FUORI","A09MM",24,4,1,1,1
"24","F","LAUREA                             ","Categoria D","MANAGERIALE                             ","LA GOVERNANCE DELLE RETI DI PUBBLICO INTERESSE                                  ","FUORI","A09CB",40,3,1,1,1
"25","F","DIPLOMA DI MATURITA                ","Categoria C","SISTEMI INFORMATIVI E TECNOLOGIE        ","SEMINARIO SU INTRODUZIONE AL PROTOCOLLO INTEROPERABILE E GESTIONE DOCUMENTALE   ","FUORI","A09BB",4,3,1,1,1
"26","F","DIPLOMA DI MATURITA                ","Categoria C","TECNICO-SPECIALISTICA                   ","MATERIE SPECIALISTICHE FA                                                       ","FUORI","A09CP",32,4,1,1,1
"27","M","LAUREA                             ","Categoria D","SISTEMI INFORMATIVI E TECNOLOGIE        ","SEMINARIO SU INTRODUZIONE AL PROTOCOLLO INTEROPERABILE E GESTIONE DOCUMENTALE   ","FUORI","A09BB",4,3,1,1,1
"28","M","LAUREA                             ","Categoria D","TECNICO-SPECIALISTICA                   ","LA NUOVA NORMATIVA TECNICA PER LE COSTRUZIONI - DM 14/01/2008                   ","FUORI","B09MD",42,1,1,NA,0
"29","M","LAUREA                             ","Categoria D","GIURIDICA                               ","IL NUOVO PROCEDIMENTO AMMINISTRATIVO                                            ","FUORI","D09MS",8,4,1,NA,0
"30","M","LAUREA                             ","Categoria D","GIURIDICA                               ","TESTO UNICO SULLA SICUREZZA (D.LGS. 81/2008)                                    ","FUORI","A09CB",12,4,1,1,1
"31","F","LAUREA                             ","Categoria D","GIURIDICA                               ","LA PRIVACY IN AMBITO SANITARIO                                                  ","FUORI","B09CB",8,2,1,NA,0
"32","F","LAUREA                             ","Categoria D","SISTEMI INFORMATIVI E TECNOLOGIE        ","INTRODUZIONE A BUSINESS OBJECTS                                                 ","DENTRO","C08AT",24,1,1,1,1
"33","F","DIPLOMA DI MATURITA                ","Categoria D","COMUNICAZIONE                           ","CERIMONIALE, RELAZIONI ESTERNE ED ORGANIZZAZIONE EVENTI                         ","FUORI","A09MS",16,2,1,1,1
"34","F","DIPLOMA DI MATURITA                ","Categoria D","MANAGERIALE                             ","COMUNICARE IL CAMBIAMENTO                                                       ","FUORI","A09MM",16,3,1,1,1
"35","M","LAUREA                             ","Categoria D","ECONOMICO FINANZIARIA                   ","LA PROGRAMMAZIONE CONTABILE E DI BILANCIO                                       ","DENTRO","A09AT",16,4,1,1,1
"36","M","LAUREA                             ","Categoria D","GIURIDICA                               ","L'ATTIVITA' CONTRATTUALE DELLA REGIONE TOSCANA - AGGIORNAMENTO                  ","DENTRO","B09AL",8,4,1,NA,0
"37","M","LAUREA                             ","Categoria D","GIURIDICA                               ","TESTO UNICO SULLA SICUREZZA (D.LGS. 81/2008)                                    ","FUORI","A09CB",12,4,1,1,1
"38","M","LAUREA                             ","Categoria D","SISTEMI INFORMATIVI E TECNOLOGIE        ","SEMINARIO SU INTRODUZIONE AL PROTOCOLLO INTEROPERABILE E GESTIONE DOCUMENTALE   ","FUORI","A09BB",4,3,1,1,1
"39","M","LAUREA                             ","Categoria D","ECONOMICO FINANZIARIA                   ","LA COSTRUZIONE E LA VALUTAZIONE DEL PIANO ECONOMICO FINANZIARIO DI UNA INIZIATIV","FUORI","B09MS",32,4,1,NA,0
"40","M","LAUREA                             ","Categoria D","COMPETENZE TRASVERSALI                  ","TECNICHE DI NEGOZIAZIONE                                                        ","FUORI","B09FV",16,3,1,NA,0
"41","F","DIPLOMA DI MATURITA                ","Categoria D","GIURIDICA                               ","IL RIPARTO DELLA GIURISDIZIONE TRA GIUDICE ORDINARIO E GIUDICE AMMINISTRATIVO NE","FUORI","A09CB",16,4,1,NA,0
"42","F","LAUREA                             ","Qualifica dirigenziale","SISTEMI INFORMATIVI E TECNOLOGIE        ","SEMINARIO SU INTRODUZIONE AL PROTOCOLLO INTEROPERABILE E GESTIONE DOCUMENTALE   ","FUORI","A09BB",4,3,1,1,1
"43","F","DIPLOMA DI MATURITA                ","Categoria C","GIURIDICA                               ","IL CONTRATTO DI APPALTO PER LA FORNITURA DI BENI E SERVIZI: DALL'AGGIUDICAZIONE ","FUORI","B09AL",16,2,1,1,1
"44","F","DIPLOMA DI MATURITA                ","Categoria C","GIURIDICA                               ","L'ATTIVITA' CONTRATTUALE DELLA REGIONE TOSCANA - CORSO BASE                     ","DENTRO","C09AL",16,2,1,1,1
"45","M","LAUREA                             ","Qualifica dirigenziale","SISTEMI INFORMATIVI E TECNOLOGIE        ","SEMINARIO SU INTRODUZIONE AL PROTOCOLLO INTEROPERABILE E GESTIONE DOCUMENTALE   ","FUORI","A09BB",4,3,1,1,1
"46","F","DIPLOMA DI QUALIFICA               ","Categoria C","GIURIDICA                               ","TECNICHE DI REDAZIONE E CONTROLLO DI ATTI AMMINISTRATIVI                        ","DENTRO","C09AL",28,4,1,NA,0
"47","F","DIPLOMA DI MATURITA                ","Categoria C","COMPETENZE TRASVERSALI                  ","TECNICHE DI COMUNICAZIONE INTERPERSONALE                                        ","DENTRO","F09FV",16,4,1,1,1
"48","F","DIPLOMA DI MATURITA                ","Categoria C","GIURIDICA                               ","L'ATTIVITA' CONTRATTUALE DELLA REGIONE TOSCANA - CORSO APPROFONDIMENTO FORNITURE","DENTRO","C09AL",28,4,1,NA,0
"49","F","DIPLOMA DI MATURITA                ","Categoria D","SISTEMI INFORMATIVI E TECNOLOGIE        ","SEMINARIO SU INTRODUZIONE AL PROTOCOLLO INTEROPERABILE E GESTIONE DOCUMENTALE   ","FUORI","A09BB",4,3,1,1,1
"50","F","DIPLOMA DI MATURITA                ","Categoria D","SISTEMI INFORMATIVI E TECNOLOGIE        ","GROUPWISE CLIENT                                                                ","DENTRO","D08BB",16,1,1,1,1
"51","F","DIPLOMA DI QUALIFICA               ","Categoria C","COMUNICAZIONE                           ","UTILIZZO DELLE RISORSE IN LINEA DELLA SEZIONE INTRANET DELLA BIBLIOTECA DELLA GI","FUORI","A09FV",8,3,1,1,1
"52","F","DIPLOMA DI QUALIFICA               ","Categoria C","GIURIDICA                               ","LA SEMPLIFICAZIONE DELLA DOCUMENTAZIONE AMMINISTRATIVA                          ","DENTRO","B09AL",8,3,1,1,1
"53","F","DIPLOMA DI QUALIFICA               ","Categoria C","ORGANIZZAZIONE E RISORSE UMANE          ","IL RAPPORTO DI LAVORO NELLA PUBBLICA AMMINISTRAZIONE                            ","DENTRO","B09MM",12,4,1,1,1
"54","M","DIPLOMA DI MATURITA                ","Categoria D","SISTEMI INFORMATIVI E TECNOLOGIE        ","DRAW                                                                            ","FUORI","A09AT",2,4,1,NA,0
"55","F","DIPLOMA DI MATURITA                ","Categoria D","GIURIDICA                               ","L'ATTIVITA' CONTRATTUALE DELLA REGIONE TOSCANA - CORSO APPROFONDIMENTO FORNITURE","DENTRO","B09AL",28,4,1,1,1
"56","F","DIPLOMA DI QUALIFICA               ","Categoria D","COMUNICAZIONE                           ","CERIMONIALE, RELAZIONI ESTERNE ED ORGANIZZAZIONE EVENTI                         ","FUORI","A09MS",16,2,1,1,1
"57","F","DIPLOMA DI MATURITA                ","Categoria C","SISTEMI INFORMATIVI E TECNOLOGIE        ","SEMINARIO SU INTRODUZIONE AL PROTOCOLLO INTEROPERABILE E GESTIONE DOCUMENTALE   ","FUORI","A09BB",4,3,1,1,1
"58","F","LICENZA SCUOLA MEDIA               ","Categoria C","ECONOMICO FINANZIARIA                   ","L'ORDINAMENTO CONTABILE DELLA REGIONE TOSCANA                                   ","DENTRO","A09AT",20,2,1,1,1
"59","F","DIPLOMA DI QUALIFICA               ","Categoria D","ORGANIZZAZIONE E RISORSE UMANE          ","GESTIONE PROGETTI - CORSO BASE                                                  ","DENTRO","C09MS",24,4,1,NA,0
"60","F","DIPLOMA DI QUALIFICA               ","Categoria D","SISTEMI INFORMATIVI E TECNOLOGIE        ","STRUMENTI DI RILEVAZIONE ED ELABORAZIONE STATISTICA DEI DATI                    ","FUORI","B09MM",24,4,1,NA,0
"61","F","DIPLOMA DI QUALIFICA               ","Categoria D","SISTEMI INFORMATIVI E TECNOLOGIE        ","SEMINARIO SU INTRODUZIONE AL PROTOCOLLO INTEROPERABILE E GESTIONE DOCUMENTALE   ","FUORI","A09BB",4,3,1,1,1
"62","F","DIPLOMA UNIVERSITARIO              ","Categoria D","SISTEMI INFORMATIVI E TECNOLOGIE        ","SEMINARIO SU INTRODUZIONE AL PROTOCOLLO INTEROPERABILE E GESTIONE DOCUMENTALE   ","FUORI","A09BB",4,3,1,1,1
"63","F","DIPLOMA UNIVERSITARIO              ","Categoria D","EUROPEA                                 ","I FONDI STRUTTURALI                                                             ","DENTRO","D09GR",16,4,1,1,1
"64","F","DIPLOMA UNIVERSITARIO              ","Categoria D","MANAGERIALE                             ","COMPETENZE PER LA GESTIONE DELLE RISORSE FAVORENDO L'INNOVAZIONE E IL GOVERNO DE","FUORI","A09MM",24,4,1,NA,0
"65","F","DIPLOMA DI MATURITA                ","Categoria C","COMPETENZE TRASVERSALI                  ","TECNICHE DI MEMORIZZAZIONE                                                      ","FUORI","A09FV",8,2,1,1,1
"66","F","LAUREA                             ","Categoria D","SISTEMI INFORMATIVI E TECNOLOGIE        ","SEMINARIO SU INTRODUZIONE AL PROTOCOLLO INTEROPERABILE E GESTIONE DOCUMENTALE   ","FUORI","A09BB",4,3,1,1,1
"67","F","LAUREA                             ","Categoria D","COMUNICAZIONE                           ","LE FONTI PER L'INFORMAZIONE IN LINEA IN AMBITO GIURIDICO-AMMINISTRATIVO         ","FUORI","E09CP",12,4,1,NA,0
"68","F","LAUREA                             ","Categoria D","EUROPEA                                 ","EUROPROGETTAZIONE                                                               ","FUORI","A09AL",32,3,1,NA,0
"69","F","DIPLOMA DI MATURITA                ","Categoria C","GIURIDICA                               ","LA SEMPLIFICAZIONE DELLA DOCUMENTAZIONE AMMINISTRATIVA                          ","DENTRO","A09AL",8,2,1,1,1
"70","F","DIPLOMA DI MATURITA                ","Categoria C","ORGANIZZAZIONE E RISORSE UMANE          ","ELEMENTI DI ORGANIZZAZIONE - CORSO BASE                                         ","DENTRO","B09MS",16,3,1,1,1
"71","F","DIPLOMA DI MATURITA                ","Categoria C","COMUNICAZIONE                           ","LE FONTI PER L'INFORMAZIONE IN LINEA IN AMBITO GIURIDICO-AMMINISTRATIVO         ","FUORI","E09CP",12,4,1,1,1
"72","F","DIPLOMA DI MATURITA                ","Categoria C","ORGANIZZAZIONE E RISORSE UMANE          ","CORSO D'AGGIORNAMENTO PER ADDETTO ALLA SEGRETERIA LEGALE                        ","FUORI","A09MD",30,3,1,1,1
"73","M","DIPLOMA DI MATURITA                ","Categoria D","GIURIDICA                               ","IL NUOVO PROCEDIMENTO AMMINISTRATIVO                                            ","FUORI","B09MS",8,3,1,1,1
"74","F","LICENZA SCUOLA MEDIA               ","Categoria C","COMPETENZE TRASVERSALI                  ","SOLUZIONE DEI PROBLEMI                                                          ","FUORI","B09FV",16,3,1,NA,0
"75","F","DIPLOMA DI QUALIFICA               ","Categoria C","COMPETENZE TRASVERSALI                  ","LETTURA RAPIDA DI DOCUMENTI                                                     ","FUORI","B09FV",16,3,1,NA,0
"76","F","DIPLOMA DI QUALIFICA               ","Categoria C","COMUNICAZIONE                           ","LA COMUNICAZIONE PUBBLICA E ISTITUZIONALE                                       ","FUORI","B09GR",16,4,1,NA,0
"77","F","DIPLOMA DI MATURITA                ","Categoria D","COMPETENZE TRASVERSALI                  ","TECNICHE DI GESTIONE GRUPPI E CONDUZIONI RIUNIONI                               ","FUORI","A09FV",16,4,1,1,1
"78","F","DIPLOMA DI MATURITA                ","Categoria D","ECONOMICO FINANZIARIA                   ","LA COSTRUZIONE E LA VALUTAZIONE DEL PIANO ECONOMICO FINANZIARIO DI UNA INIZIATIV","FUORI","B09MS",32,4,1,1,1
"79","M","DIPLOMA DI MATURITA                ","Categoria C","COMPETENZE TRASVERSALI                  ","GESTIONE DEL TEMPO                                                              ","FUORI","B09FV",16,4,1,1,1
"80","M","DIPLOMA DI MATURITA                ","Categoria C","COMPETENZE TRASVERSALI                  ","LETTURA RAPIDA DI DOCUMENTI                                                     ","FUORI","B09FV",16,3,1,1,1
"81","M","DIPLOMA DI MATURITA                ","Categoria D","GIURIDICA                               ","TESTO UNICO SULLA SICUREZZA (D.LGS. 81/2008)                                    ","FUORI","A09CB",12,4,1,1,1
"82","F","DIPLOMA DI MATURITA                ","Categoria D","COMPETENZE TRASVERSALI                  ","SOLUZIONE DEI PROBLEMI                                                          ","FUORI","D09FV",16,4,1,1,1
"83","F","DIPLOMA DI MATURITA                ","Categoria D","GIURIDICA                               ","IL CODICE DELL'AMMINISTRAZIONE DIGITALE                                         ","FUORI","C09MM",8,4,1,NA,0
"84","F","DIPLOMA DI MATURITA                ","Categoria C","COMPETENZE TRASVERSALI                  ","TECNICHE DI COMUNICAZIONE INTERPERSONALE                                        ","DENTRO","F09FV",16,4,1,NA,0
"85","F","DIPLOMA DI MATURITA                ","Categoria C","COMPETENZE TRASVERSALI                  ","TECNICHE DI MEMORIZZAZIONE                                                      ","FUORI","E09FV",8,4,1,NA,0
"86","F","DIPLOMA DI MATURITA                ","Categoria C","COMUNICAZIONE                           ","CERIMONIALE, RELAZIONI ESTERNE ED ORGANIZZAZIONE EVENTI                         ","FUORI","B09MS",16,4,1,1,1
"87","F","DIPLOMA DI MATURITA                ","Categoria D","ECONOMICO FINANZIARIA                   ","IL MODELLO DI PROGRAMMAZIONE REGIONALE                                          ","FUORI","D09MS",24,4,1,1,1
"88","F","DIPLOMA DI MATURITA                ","Categoria D","EUROPEA                                 ","EUROPROGETTAZIONE                                                               ","FUORI","A09AL",32,3,1,NA,0
"89","F","DIPLOMA DI MATURITA                ","Categoria D","EUROPEA                                 ","LA NUOVA IMPOSTAZIONE DEL F.S.E 2007-2013: MONITORAGGIO, CONTROLLI E RENDICONTAZ","FUORI","A09CB",33,4,1,1,1
"90","F","DIPLOMA DI MATURITA                ","Categoria D","EUROPEA                                 ","I FONDI STRUTTURALI: LA RENDICONTAZIONE DEI FONDI 2007-2013                     ","DENTRO","A08AL",16,1,1,1,1
"91","F","DIPLOMA DI MATURITA                ","Categoria D","ORGANIZZAZIONE E RISORSE UMANE          ","ELEMENTI DI ORGANIZZAZIONE - CORSO BASE                                         ","DENTRO","B09MS",16,3,1,1,1
"92","F","DIPLOMA DI MATURITA                ","Categoria D","SISTEMI INFORMATIVI E TECNOLOGIE        ","SEMINARIO SU INTRODUZIONE AL PROTOCOLLO INTEROPERABILE E GESTIONE DOCUMENTALE   ","FUORI","A09BB",4,3,1,1,1
"93","F","DIPLOMA DI MATURITA                ","Categoria D","GIURIDICA                               ","IL CODICE DELL'AMMINISTRAZIONE DIGITALE                                         ","FUORI","D09MM",8,4,1,1,1
"94","F","DIPLOMA DI MATURITA                ","Categoria D","GIURIDICA                               ","IL NUOVO PROCEDIMENTO AMMINISTRATIVO                                            ","FUORI","D09MS",8,4,1,NA,0
"95","F","LICENZA SCUOLA MEDIA               ","Categoria B","COMUNICAZIONE                           ","UTILIZZO DELLE RISORSE IN LINEA DELLA SEZIONE INTRANET DELLA BIBLIOTECA DELLA GI","FUORI","A09FV",8,3,1,NA,0
"96","M","DIPLOMA DI MATURITA                ","Categoria D","TECNICO-SPECIALISTICA                   ","LA NUOVA NORMATIVA TECNICA PER LE COSTRUZIONI - DM 14/01/2008                   ","FUORI","A09MD",42,1,1,1,1
"97","M","DIPLOMA DI MATURITA                ","Categoria C","COMPETENZE TRASVERSALI                  ","TECNICHE DI MEMORIZZAZIONE                                                      ","FUORI","C09FV",8,3,1,1,1
"98","M","DIPLOMA DI MATURITA                ","Categoria D","TECNICO-SPECIALISTICA                   ","LA NUOVA NORMATIVA TECNICA PER LE COSTRUZIONI - DM 14/01/2008                   ","FUORI","A09MD",42,1,1,NA,0
"99","M","DIPLOMA DI MATURITA                ","Categoria C","TECNICO-SPECIALISTICA                   ","LA NUOVA NORMATIVA TECNICA PER LE COSTRUZIONI - DM 14/01/2008                   ","FUORI","B09MD",42,1,1,1,1
"100","F","DIPLOMA  INTERMEDIO                ","Categoria C","COMUNICAZIONE                           ","LE FONTI PER L'INFORMAZIONE IN LINEA IN AMBITO GIURIDICO-AMMINISTRATIVO         ","FUORI","B09FV",12,2,1,1,1
"101","M","DIPLOMA DI MATURITA                ","Categoria C","TECNICO-SPECIALISTICA                   ","LA NUOVA NORMATIVA TECNICA PER LE COSTRUZIONI - DM 14/01/2008                   ","FUORI","B09MD",42,1,1,1,1
"102","F","LICENZA SCUOLA MEDIA               ","Categoria B","COMUNICAZIONE                           ","SCRITTURA, WEB, DOCUMENTI, INFORMAZIONE                                         ","DENTRO","A09GR",16,2,1,1,1
"103","M","DIPLOMA DI MATURITA                ","Categoria C","TECNICO-SPECIALISTICA                   ","LA NUOVA NORMATIVA TECNICA PER LE COSTRUZIONI - DM 14/01/2008                   ","FUORI","A09MD",42,1,1,1,1
"104","M","DIPLOMA DI MATURITA                ","Categoria D","TECNICO-SPECIALISTICA                   ","LA NUOVA NORMATIVA TECNICA PER LE COSTRUZIONI - DM 14/01/2008                   ","FUORI","A09MD",42,1,1,1,1
"105","M","DIPLOMA DI MATURITA                ","Categoria C","GIURIDICA                               ","LA SEMPLIFICAZIONE DELLA DOCUMENTAZIONE AMMINISTRATIVA                          ","DENTRO","C09AL",8,4,1,1,1
"106","M","DIPLOMA DI MATURITA                ","Categoria C","SISTEMI INFORMATIVI E TECNOLOGIE        ","ARCGIS 9.2 - CORSO BASE                                                         ","FUORI","D08EB",16,1,1,NA,0
"107","M","LAUREA                             ","Categoria D","TECNICO-SPECIALISTICA                   ","LA NUOVA NORMATIVA TECNICA PER LE COSTRUZIONI - DM 14/01/2008                   ","FUORI","B09MD",42,1,1,1,1
"108","M","LAUREA                             ","Categoria D","GIURIDICA                               ","IL CODICE DELL'AMMINISTRAZIONE DIGITALE                                         ","FUORI","C09MM",8,4,1,1,1
"109","M","DIPLOMA UNIVERSITARIO              ","Categoria D","SISTEMI INFORMATIVI E TECNOLOGIE        ","ARCGIS 9.2 - CORSO AVANZATO                                                     ","FUORI","D08EB",24,1,1,1,1
"110","M","DIPLOMA UNIVERSITARIO              ","Categoria D","SISTEMI INFORMATIVI E TECNOLOGIE        ","ARCGIS 9.2 - CORSO BASE                                                         ","FUORI","D08EB",16,1,1,1,1
"111","M","DIPLOMA UNIVERSITARIO              ","Categoria D","TECNICO-SPECIALISTICA                   ","LE ACQUE REFLUE E LA TUTELA DELLE ACQUE                                         ","FUORI","A09MD",22,1,1,1,1
"112","M","LAUREA                             ","Categoria D","SISTEMI INFORMATIVI E TECNOLOGIE        ","ARCGIS 9.2 - CORSO BASE                                                         ","FUORI","C09AT",16,4,1,1,1
"113","M","LAUREA                             ","Qualifica dirigenziale","MANAGERIALE                             ","SERVIZIO DI AGGIORNAMENTO PERMANENTE - AMBROSETTI                               ","FUORI","H09MD",8,2,1,NA,0
"114","M","DIPLOMA DI MATURITA                ","Categoria D","GIURIDICA                               ","L'ATTIVITA' CONTRATTUALE DELLA REGIONE TOSCANA - CORSO APPROFONDIMENTO FORNITURE","DENTRO","C09AL",28,4,1,NA,0
"115","M","LAUREA                             ","Categoria C","TECNICO-SPECIALISTICA                   ","LA NUOVA NORMATIVA TECNICA PER LE COSTRUZIONI - DM 14/01/2008                   ","FUORI","B09MD",42,1,1,1,1
"116","M","DIPLOMA DI MATURITA                ","Categoria D","SISTEMI INFORMATIVI E TECNOLOGIE        ","ARCGIS 9.2 - CORSO BASE                                                         ","FUORI","D08EB",16,1,1,1,1
"117","M","DIPLOMA DI MATURITA                ","Categoria D","COMPETENZE TRASVERSALI                  ","LETTURA RAPIDA DI DOCUMENTI                                                     ","FUORI","D09FV",16,4,1,1,1
"118","M","DIPLOMA DI MATURITA                ","Categoria D","COMPETENZE TRASVERSALI                  ","TECNICHE DI NEGOZIAZIONE                                                        ","FUORI","B09FV",16,3,1,1,1
"119","M","DIPLOMA DI MATURITA                ","Categoria D","COMPETENZE TRASVERSALI                  ","TECNICHE DI GESTIONE GRUPPI E CONDUZIONI RIUNIONI                               ","FUORI","B09FV",16,4,1,1,1
"120","M","DIPLOMA DI MATURITA                ","Categoria D","MANAGERIALE                             ","COMPETENZE PER LA GESTIONE DELLE RISORSE FAVORENDO L'INNOVAZIONE E IL GOVERNO DE","FUORI","A09MM",24,4,1,1,1
"121","M","DIPLOMA DI MATURITA                ","Categoria D","COMUNICAZIONE                           ","SCRITTURA, WEB, DOCUMENTI, INFORMAZIONE                                         ","DENTRO","A09GR",16,2,1,NA,0
"122","M","DIPLOMA DI MATURITA                ","Categoria D","EUROPEA                                 ","EUROPROGETTAZIONE                                                               ","FUORI","A09AL",32,3,1,NA,0
"123","M","DIPLOMA DI MATURITA                ","Categoria D","TECNICO-SPECIALISTICA                   ","ISPETTORE FITOSANITARIO                                                         ","FUORI","A09GR",48,2,1,1,1
"124","M","DIPLOMA DI MATURITA                ","Categoria D","TECNICO-SPECIALISTICA                   ","METODOLOGIE DI MONITORAGGIO SU INDICATORI AGROAMBIENTALI E SOCIO-ECONOMICI      ","FUORI","A09GR",32,4,1,1,1
"125","M","DIPLOMA DI MATURITA                ","Categoria D","TECNICO-SPECIALISTICA                   ","ISPETTORE FITOSANITARIO                                                         ","FUORI","A09GR",48,2,1,1,1
"126","M","DIPLOMA DI MATURITA                ","Categoria D","TECNICO-SPECIALISTICA                   ","METODOLOGIE DI MONITORAGGIO SU INDICATORI AGROAMBIENTALI E SOCIO-ECONOMICI      ","FUORI","A09GR",32,4,1,1,1
"127","M","DIPLOMA DI MATURITA                ","Categoria C","GIURIDICA                               ","LA SICUREZZA                                                                    ","FUORI","A09GR",32,4,1,NA,0
"128","M","LAUREA                             ","Categoria C","TECNICO-SPECIALISTICA                   ","LA NUOVA NORMATIVA TECNICA PER LE COSTRUZIONI - DM 14/01/2008                   ","FUORI","A09MD",42,1,1,1,1
"129","M","LAUREA                             ","Categoria C","COMPETENZE TRASVERSALI                  ","LETTURA RAPIDA DI DOCUMENTI                                                     ","FUORI","C09FV",16,3,1,NA,0
"130","M","DIPLOMA DI MATURITA                ","Categoria C","GIURIDICA                               ","L'ATTIVITA' CONTRATTUALE DELLA REGIONE TOSCANA - CORSO BASE                     ","DENTRO","C09AL",16,2,1,NA,0
"131","M","DIPLOMA DI MATURITA                ","Categoria C","GIURIDICA                               ","L'INFORMATIZZAZIONE DELLE PROCEDURE DI GARA                                     ","FUORI","B09AL",16,2,1,1,1
"132","F","DIPLOMA DI MATURITA                ","Categoria D","ECONOMICO FINANZIARIA                   ","IL MODELLO DI PROGRAMMAZIONE REGIONALE                                          ","FUORI","D09MS",24,4,1,1,1
"133","F","DIPLOMA DI MATURITA                ","Categoria D","SISTEMI INFORMATIVI E TECNOLOGIE        ","INTRODUZIONE A BUSINESS OBJECTS                                                 ","FUORI","C09AL",24,4,1,1,1
